dataset,model,auc_train_only,auc_full_log,delta_auc,acc_train_only,acc_full_log,delta_acc
assist2012,dgekt,0.9600056351869688,0.9601037497679912,9.811458102249038e-05,0.9072013714845736,0.907256041336876,5.466985230221747e-05
assist2012,dygkt,0.951921744429295,0.9516440317405896,-0.0002777126887055,0.8988289055489672,0.8985406072250464,-0.0002882983239207
assist2012,gikt,0.9674315750741572,0.9675278154599094,9.624038575206662e-05,0.9145653367500594,0.91490639946472,0.0003410627146607
assist2012,gkt,0.9610027683417368,0.9609696110469212,-3.315729481575177e-05,0.9074479839073936,0.9072850428871412,-0.0001629410202522
assist2012,skt,0.952535560621534,0.9525487723271336,1.3211705599869283e-05,0.898046577381482,0.8980844393724597,3.7861990977809214e-05
synthetic_c2,dgekt,0.7095443206634355,0.7106891942160171,0.0011448735525815,0.7238373015873015,0.7245856009070296,0.0007482993197279
synthetic_c2,dygkt,0.7100272702780125,0.7101699416789162,0.0001426714009038,0.7260311791383219,0.7257845804988663,-0.0002465986394557
synthetic_c2,gikt,0.874577867358817,0.8741997729825983,-0.0003780943762186,0.808954081632653,0.8092857142857143,0.0003316326530612
synthetic_c2,gkt,0.8730524623824323,0.8725205802092192,-0.000531882173213,0.8076190476190477,0.8068707482993197,-0.0007482993197279
synthetic_c2,skt,0.7075448446981426,0.7077861504228355,0.0002413057246927,0.7219920634920635,0.7225958049886622,0.0006037414965986
synthetic_c5,dgekt,0.8295948870945917,0.8297622944952803,0.0001674074006886,0.7561649659863946,0.7556377551020409,-0.0005272108843537
synthetic_c5,dygkt,0.8259908878077006,0.8259975269881784,6.639180477792846e-06,0.750765306122449,0.7514965986394557,0.0007312925170068
synthetic_c5,gikt,0.8197631278175922,0.8197005678220396,-6.255999555278742e-05,0.7487499999999999,0.7466071428571429,-0.0021428571428571
synthetic_c5,gkt,0.8100001987017064,0.8118121710125178,0.0018119723108114,0.738078231292517,0.7383843537414966,0.0003061224489795
synthetic_c5,skt,0.8095232106885774,0.8089283532584549,-0.0005948574301224,0.7396768707482994,0.7389625850340137,-0.0007142857142857
junyi,dgekt,0.9810905345972262,0.9810611172375192,-2.941735970681444e-05,0.94270737472154,0.942636469380481,-7.090534105928341e-05
junyi,dygkt,0.9778780447830492,0.9777359252238964,-0.0001421195591527,0.9336154526027842,0.933644760247566,2.930764478174345e-05
junyi,gikt,0.982338026282116,0.9823523356488076,1.4309366691593144e-05,0.9457350626360794,0.9456812895195756,-5.377311650393383e-05
junyi,skt,0.9789646599359418,0.9757120038877428,-0.0032526560481989,0.9384450761012324,0.9309322558114344,-0.0075128202897979
xes3g5m,dgekt,0.8412748691612059,0.840986384674256,-0.00028848448694981005,0.8443884243204586,0.8435481224606708,-0.0008403018597877473
xes3g5m,dygkt,0.7524567416556446,0.7492295166292292,-0.00322722502641537,0.8130446551147177,0.8120931163843568,-0.0009515387303608754
xes3g5m,gikt,0.8778516138740068,0.8780187722120933,0.00016715833808652233,0.859719646007199,0.8598197591907146,0.00010011318351580793
xes3g5m,gkt,0.833644346950711,0.8353824246639929,0.0017380777132818641,0.8417692595054223,0.8422684349621191,0.0004991754566968654
xes3g5m,skt,0.6246304231202585,0.6244655031021064,-0.00016492001815208526,0.7999859099963941,0.7999882274311977,2.3174348036114623e-06
